Reference,Quantity,Name,Description,Package,Digi-Key Part,Value,Tol.,P_Max,Manufacturer,Manufacturer Part,Newark Part,Mouser Part,Cost,Usage,Datasheet,Picture,Voltage,Capacity,R_Int,T_Max,V_Max,R_Off,R_On,T_Trip,Temp_Nom
B1,1,BATTERY,Single-cell battery,KS1043,36-1043-ND,,,,..,..,..,..,,..,..,..,..,..,..,..,,,,,
"C1,C2",2,10mfd,Capacitor,C0603,1276-1948-1-ND,,,,,,,,,,,,,,,,,,,,
C3,1,.1mfd,Capacitor,C0603,490-9730-1-ND,,,,,,,,,,,,,,,,,,,,
C4,1,8.2pf,Capacitor,C1206,311-1222-1-ND,8.2pf,,,,,,,,,,,,,,,,,,,
"C5,C6",2,4.7uf,Capacitor,C0603,1276-2087-1-ND,,,,,,,,,,,,,,,,,,,,
D2,1,LED,Light Emitting Diode,R0603,VLMTG1400-GS08CT-ND,,,,,,,,,,,,,,,,,,,,
L1,1,1.5mh,Coil,CL10B106MQ8NRNC,SRR1280-331KLCT-ND ,,,,,,,,,,,,,,,,,,,,
"R1,R2",2,2.2K,Resistor,R1206,311-2.0KGRCT-ND,..,..,..,..,..,..,..,..,,,,,,,,,,,,
R3,1,10K,Resistor,R1206,311-10KERCT-ND,..,..,..,..,..,..,..,..,,,,,,,,,,,,
R4,1,2k,Resistor,R0603,311-2.0KGRCT-ND,..,..,..,..,..,..,..,..,,,,,,,,,,,,
R5,1,470,Resistor,R0603,311-470GRCT-ND,,..,..,..,..,..,..,..,,,,,,,,,,,,
U1,1,TPS63031,Boost/Buck Regulator,VSON-10,296-39461-1-ND,,,,,,,,,,,,,,,,,,,,
U2,1,XBP9B-DMWT-002,XBee,XBee,602-1301-ND,,,,,,,,,,,,,,,,,,,,
U3,1,A2235-H,A2235-H GPS,A2235-H,1530-1011-1-ND,,,,,,,,,,,,,,,,,,,,
U4,1,MCP7383x,Li-Polymer Charge Management Controller,MCP7383x,MCP73832T-2ACI/OTCT-ND,,,,,,,,,,,,,,,,,,,,
V1,1,VARISTOR,Varistor,C1206,732-2549-1-ND,,,,,..,,,,,,,,,,,18v,,,,
"x1,x2",2,Xbee Header,CONN RECEPT 2MM SINGLE STR 10POS,package name for PCB layout,S5751-10-ND,,,,,,,,,,,,,,,,,,,,
Z1,1,USBB,Mini USB B Type Receptacle,10118192-0001LF,609-1039-ND,,,,FCI,61729-0010BLF ,..,..,1.04,..,..,,,,,,,,,,
